Imperfective	Perfective
доковывать	доковать
проковывать	проковать
запарковывать	запарковать
припарковывать	припарковать
окирковывать	окирковать
сковывать	сковать
расковывать	расковать
отковывать	отковать
заштуковывать	заштуковать
приштуковывать	приштуковать
выковывать	выковать
пристыковывать	пристыковать
состыковывать	состыковать
отстыковывать	отстыковать
затюковывать	затюковать
растюковывать	растюковать
забаловывать	забаловать
набаловывать	набаловать
разбаловывать	разбаловать
избаловывать	избаловать
зацеловывать	зацеловать
расцеловывать	расцеловать
переформовывать	переформовать
сформовывать	сформовать
отформовывать	отформовать
зарифмовывать	зарифмовать
ошельмовывать	ошельмовать
*	ассигновать
переассигновывать	переассигновать
разассигновывать	разассигновать
переэкзаменовывать	переэкзаменовать
ознаменовывать	ознаменовать
наименовывать	наименовать
переименовывать	переименовать
налиновывать	налиновать
перелиновывать	перелиновать
разлиновывать	разлиновать
замариновывать	замариновать
намариновывать	намариновать
перебороновывать	перебороновать
разбороновывать	разбороновать
основывать	основать
обосновывать	обосновать
проштамповывать	проштамповать
отштамповывать	отштамповать
зачаровывать	зачаровать
очаровывать	очаровать
разочаровывать	разочаровать
заномеровывать	заномеровать
переномеровывать	переномеровать
прономеровывать	прономеровать
занумеровывать	занумеровать
перенумеровывать	перенумеровать
пронумеровывать	пронумеровать
запломбировывать	запломбировать
опломбировывать	опломбировать
прикомандировывать	прикомандировать
откомандировывать	откомандировать
обмундировывать	обмундировать
переобмундировывать	переобмундировать
набронзировывать	набронзировать
залакировывать	залакировать
налакировывать	налакировать
подлакировывать	подлакировать
перелакировывать	перелакировать
отлакировывать	отлакировать
распикировывать	распикировать
замаскировывать	замаскировать
обмеблировывать	обмеблировать
омеблировывать	омеблировать
наполировывать	наполировать
отполировывать	отполировать
загримировывать	загримировать
нагримировывать	нагримировать
подгримировывать	подгримировать
разгримировывать	разгримировать
переформировывать	переформировать
сформировывать	сформировать
расформировывать	расформировать
перепланировывать	перепланировать
перепланировывать	перепланировать
распланировывать	распланировать
задрапировывать	задрапировать
перегруппировывать	перегруппировать
разгруппировывать	разгруппировать
сгруппировывать	сгруппировать
забаллотировывать	забаллотировать
перебаллотировывать	перебаллотировать
расквартировывать	расквартировать
насортировывать	насортировать
пересортировывать	пересортировать
рассортировывать	рассортировать
отсортировывать	отсортировать
наворовывать	наворовать
обворовывать	обворовать
разворовывать	разворовать
уворовывать	уворовать
профильтровывать	профильтровать
отфильтровывать	отфильтровать
замуровывать	замуровать
обмуровывать	обмуровать
вмуровывать	вмуровать
подмуровывать	подмуровать
размуровывать	размуровать
зашнуровывать	зашнуровать
перешнуровывать	перешнуровать
прошнуровывать	прошнуровать
расшнуровывать	расшнуровать
зашифровывать	зашифровать
расшифровывать	расшифровать
засовывать	засовать
согласовывать	согласовать
насовывать	насовать
припасовывать	припасовать
распасовывать	распасовать
отпасовывать	отпасовать
втасовывать	втасовать
подтасовывать	подтасовать
перетасовывать	перетасовать
растасовывать	растасовать
расфасовывать	расфасовать
всовывать	всовать
подсовывать	подсовать
переадресовывать	переадресовать
заинтересовывать	заинтересовать
зарисовывать	зарисовать
обрисовывать	обрисовать
подрисовывать	подрисовать
перерисовывать	перерисовать
разрисовывать	разрисовать
изрисовывать	изрисовать
пририсовывать	пририсовать
дорисовывать	дорисовать
прорисовывать	прорисовать
срисовывать	срисовать
вырисовывать	вырисовать
располосовывать	располосовать
исполосовывать	исполосовать
рассовывать	рассовать
запрессовывать	запрессовать
напрессовывать	напрессовать
впрессовывать	впрессовать
спрессовывать	спрессовать
приплюсовывать	приплюсовать
законтрактовывать	законтрактовать
укомплектовывать	укомплектовать
разукомплектовывать	разукомплектовать
доукомплектовывать	доукомплектовать
надиктовывать	надиктовать
перекантовывать	перекантовать
окантовывать	окантовать
запатентовывать	запатентовать
забинтовывать	забинтовать
перебинтовывать	перебинтовать
разбинтовывать	разбинтовать
прибинтовывать	прибинтовать
зашпунтовывать	зашпунтовать
загрунтовывать	загрунтовать
нагрунтовывать	нагрунтовать
перегрунтовывать	перегрунтовать
уготовлять	уготовать
зашвартовывать	зашвартовать
пришвартовывать	пришвартовать
отшвартовывать	отшвартовать
заспиртовывать	заспиртовать
наспиртовывать	наспиртовать
проспиртовывать	проспиртовать
напластовывать	напластовать
*	арестовать
арестовывать	арестовать
заарестовывать	заарестовать
опротестовывать	опротестовать
переаттестовывать	переаттестовать
зафрахтовывать	зафрахтовать
расшлихтовывать	расшлихтовать
размачтовывать	размачтовать
зашлифовывать	зашлифовать
перешлифовывать	перешлифовать
подшлифовывать	подшлифовать
пришлифовывать	пришлифовать
ошлифовывать	ошлифовать
отшлифовывать	отшлифовать
вышлифовывать	вышлифовать
застраховывать	застраховать
подстраховывать	подстраховать
перестраховывать	перестраховать
заштриховывать	заштриховать
взрывать	взорвать
взрывать	взрыть
врывать	врыть
вырывать	вырвать
вырывать	вырыть
дорывать	дорыть
дорывать	дорвать
зарывать	зарыть
изрывать	изорвать
изрывать	изрыть
надрывать	надорвать
надрывать	надрыть
нарывать	нарвать
нарывать	нарыть
обрывать	оборвать
обрывать	обрыть
отрывать	оторвать
отрывать	отрыть
перерывать	перервать
перерывать	перерыть
подрывать	подорвать
подрывать	подрыть
порывать	порвать
прерывать	прервать
прорывать	прорвать
прорывать	прорыть
разрывать	разорвать
разрывать	разрыть
срывать	сорвать
срывать	срыть
урывать	урвать
дошагивать	дошагать
отшагивать	отшагать
вышагивать	вышагать
оббегать	оббегать
обегать	обегать
застегивать	застегать
настегивать	настегать
подстегивать	подстегать
перестегивать	перестегать
пристегивать	пристегать
достегивать	достегать
простегивать	простегать
состегивать	состегать
расстегивать	расстегать
исстегивать	исстегать
выстегивать	выстегать
замызгивать	замызгать
обмызгивать	обмызгать
измызгивать	измызгать
забрызгивать	забрызгать
набрызгивать	набрызгать
разбрызгивать	разбрызгать
обрызгивать	обрызгать
выбрызгивать	выбрызгать
задрызгивать	задрызгать
надрызгивать	надрызгать
прилыгать	прилгать
застрагивать	застрогать
настрагивать	настрогать
обстрагивать	обстрогать
надстрагивать	надстрогать
подстрагивать	подстрогать
перестрагивать	перестрогать
пристрагивать	пристрогать
острагивать	острогать
прострагивать	прострогать
сострагивать	сострогать
исстрагивать	исстрогать
отстрагивать	отстрогать
устрагивать	устрогать
выстрагивать	выстрогать
задергивать	задергать
надергивать	надергать
обдергивать	обдергать
раздергивать	раздергать
издергивать	издергать
продергивать	продергать
сдергивать	сдергать
выдергивать	выдергать
промаргивать	проморгать
запугивать	запугать
распугивать	распугать
обругивать	обругать
доругивать	доругать
застругивать	застругать
настругивать	настругать
обстругивать	обстругать
надстругивать	надстругать
подстругивать	подстругать
перестругивать	перестругать
пристругивать	пристругать
остругивать	остругать
простругивать	простругать
состругивать	состругать
исстругивать	исстругать
отстругивать	отстругать
устругивать	устругать
выстругивать	выстругать
обшмыгивать	обшмыгать
припрыгивать	припрыгать
допрыгивать	допрыгать
отпрыгивать	отпрыгать
упрыгивать	упрыгать
давать	дать
загадывать	загадать
нагадывать	нагадать
подгадывать	подгадать
перегадывать	перегадать
разгадывать	разгадать
прогадывать	прогадать
отгадывать	отгадать
угадывать	угадать
предугадывать	предугадать
выгадывать	выгадать
задавать	задать
нападать	нападать
обдавать	обдать
оправдывать	оправдать
наддавать	наддать
поддавать	поддать
наподдавать	наподдать
разведывать	разведать
изведывать	изведать
поведывать	поведать
заповедовать	заповедать
проповедовать	проповедать
исповедовать	исповедать
проведывать	проведать
отведывать	отведать
выведывать	выведать
передавать	передать
предавать	предать
пережидать	переждать
выжидать	выждать
загваздывать	загваздать
раздавать	раздать
издавать	издать
переиздавать	переиздать
воздавать	воздать
запаздывать	запоздать
припаздывать	припоздать
опаздывать	опоздать
создавать	создать
пересоздавать	пересоздать
воссоздавать	воссоздать
обуздывать	обуздать
подуздывать	подуздать
зануздывать	зануздать
разнуздывать	разнуздать
взнуздывать	взнуздать
закидывать	закидать
накидывать	накидать
обкидывать	обкидать
вкидывать	вкидать
подкидывать	подкидать
прикидывать	прикидать
докидывать	докидать
прокидывать	прокидать
скидывать	скидать
раскидывать	раскидать
откидывать	откидать
выкидывать	выкидать
придавать	придать
додавать	додать
недодавать	недодать
обгладывать	обглодать
подгладывать	подглодать
изгладывать	изглодать
огладывать	оглодать
догладывать	доглодать
прогладывать	проглодать
сгладывать	сглодать
отгладывать	отглодать
выгладывать	выглодать
подавать	подать
преподавать	преподать
продавать	продать
запродавать	запродать
перепродавать	перепродать
допродавать	допродать
распродавать	распродать
сдавать	сдать
пересдавать	пересдать
отдавать	отдать
выдавать	выдать
зажимать	зажать
зажинать	зажать
нажимать	нажать
нажинать	нажать
поднажимать	поднажать
насаживать	насажать
досаживать	досажать
усаживать	усажать
обжимать	обжать
обжинать	обжать
вжимать	вжать
поджимать	поджать
поджинать	поджать
забегать	забежать
набегать	набежать
оббегать	оббежать
вбегать	вбежать
подбегать	подбежать
перебегать	перебежать
взбегать	взбежать
избегать	избежать
прибегать	прибежать
обегать	обежать
добегать	добежать
пробегать	пробежать
сбегать	сбежать
отбегать	отбежать
убегать	убежать
выбегать	выбежать
належивать	належать
облеживать	облежать
перележивать	перележать
долеживать	долежать
пролеживать	пролежать
отлеживать	отлежать
вылеживать	вылежать
пережимать	пережать
пережинать	пережать
заважживать	завожжать
разважживать	развожжать
разжимать	разжать
прижимать	прижать
дожимать	дожать
дожинать	дожать
недожимать	недожать
недожинать	недожать
пожимать	пожать
пожинать	пожать
прожимать	прожать
прожинать	прожать
задерживать	задержать
поддерживать	поддержать
передерживать	передержать
издерживать	издержать
воздерживать	воздержать
придерживать	придержать
одерживать	одержать
додерживать	додержать
недодерживать	недодержать
