Imperfective	Perfective
доигрывать	доиграть
недоигрывать	недоиграть
проигрывать	проиграть
выигрывать	выиграть
обыгрывать	обыграть
подыгрывать	подыграть
разыгрывать	разыграть
отыгрывать	отыграть
задирать	задрать
надирать	надрать
передирать	передрать
обдирать	ободрать
додирать	додрать
наддирать	надодрать
поддирать	пододрать
раздирать	разодрать
издирать	изодрать
продирать	продрать
сдирать	содрать
отдирать	отодрать
удирать	удрать
выдирать	выдрать
нажирать	нажрать
пережирать	пережрать
обжирать	обожрать
дожирать	дожрать
пожирать	пожрать
пожирать	пожрать
прожирать	прожрать
сжирать	сожрать
выжирать	выжрать
застирывать	застирать
настирывать	настирать
обстирывать	обстирать
перестирывать	перестирать
достирывать	достирать
простирывать	простирать
состирывать	состирать
исстирывать	исстирать
отстирывать	отстирать
выстирывать	выстирать
попирать	попрать
затесывать	затесать
натесывать	натесать
обтесывать	обтесать
надтесывать	надтесать
подтесывать	подтесать
перетесывать	перетесать
притесывать	притесать
отесывать	отесать
протесывать	протесать
стесывать	стесать
растесывать	растесать
истесывать	истесать
оттесывать	оттесать
утесывать	утесать
вытесывать	вытесать
зачесывать	зачесать
начесывать	начесать
обчесывать	обчесать
подчесывать	подчесать
перечесывать	перечесать
причесывать	причесать
очесывать	очесать
дочесывать	дочесать
прочесывать	прочесать
счесывать	счесать
расчесывать	расчесать
отчесывать	отчесать
учесывать	учесать
вычесывать	вычесать
записывать	записать
перезаписывать	перезаписать
вписывать	вписать
надписывать	надписать
предписывать	предписать
подписывать	подписать
переписывать	переписать
приписывать	приписать
описывать	описать
дописывать	дописать
недописывать	недописать
прописывать	прописать
списывать	списать
расписывать	расписать
исписывать	исписать
отписывать	отписать
уписывать	уписать
выписывать	выписать
забрасывать	забросать
набрасывать	набросать
вбрасывать	вбросать
подбрасывать	подбросать
разбрасывать	разбросать
прибрасывать	прибросать
добрасывать	добросать
пробрасывать	пробросать
сбрасывать	сбросать
отбрасывать	отбросать
выбрасывать	выбросать
засасывать	засосать
насасывать	насосать
обсасывать	обсосать
всасывать	всосать
подсасывать	подсосать
пересасывать	пересосать
присасывать	присосать
досасывать	дососать
просасывать	прососать
ссасывать	ссосать
рассасывать	рассосать
иссасывать	иссосать
отсасывать	отсосать
высасывать	высосать
накусывать	накусать
обкусывать	обкусать
надкусывать	надкусать
искусывать	искусать
откусывать	откусать
выкусывать	выкусать
наплясывать	наплясать
доплясывать	доплясать
отплясывать	отплясать
выплясывать	выплясать
подпоясывать	подпоясать
перепоясывать	перепоясать
препоясывать	препоясать
опоясывать	опоясать
распоясывать	распоясать
засватывать	засватать
присватывать	присватать
просватывать	просватать
сосватывать	сосватать
высватывать	высватать
захватывать	захватать
нахватывать	нахватать
обхватывать	обхватать
расхватывать	расхватать
отхватывать	отхватать
закатывать	закатать
накатывать	накатать
обкатывать	обкатать
вкатывать	вкатать
подкатывать	подкатать
перекатывать	перекатать
прикатывать	прикатать
докатывать	докатать
прокатывать	прокатать
скатывать	скатать
раскатывать	раскатать
откатывать	откатать
укатывать	укатать
выкатывать	выкатать
подлатывать	подлатать
запечатывать	запечатать
впечатывать	впечатать
подпечатывать	подпечатать
перепечатывать	перепечатать
припечатывать	припечатать
опечатывать	опечатать
допечатывать	допечатать
пропечатывать	пропечатать
спечатывать	спечатать
распечатывать	распечатать
отпечатывать	отпечатать
упечатывать	упечатать
расшатывать	расшатать
облетывать	облетать
заметывать	заметать
заметывать	заметать
наметывать	наметать
наметывать	наметать
обметывать	обметать
обметывать	обметать
вметывать	вметать
подметывать	подметать
переметывать	переметать
переметывать	переметать
разметывать	разметать
взметывать	взметать
приметывать	приметать
приметывать	приметать
дометывать	дометать
дометывать	дометать
прометывать	прометать
сметывать	сметать
сметывать	сметать
уметывать	уметать
выметывать	выметать
выметывать	выметать
сквитывать	сквитать
отквитывать	отквитать
запитывать	запитать
напитывать	напитать
впитывать	впитать
пропитывать	пропитать
воспитывать	воспитать
перевоспитывать	перевоспитать
упитывать	упитать
зачитывать	зачитать
начитывать	начитать
подчитывать	подчитать
перечитывать	перечитать
дочитывать	дочитать
прочитывать	прочитать
считывать	считать
засчитывать	засчитать
насчитывать	насчитать
обсчитывать	обсчитать
посчитывать	посчитать
подсчитывать	подсчитать
пересчитывать	пересчитать
присчитывать	присчитать
досчитывать	досчитать
недосчитывать	недосчитать
просчитывать	просчитать
сосчитывать	сосчитать
рассчитывать	рассчитать
рассчитывать	рассчитать
отсчитывать	отсчитать
усчитывать	усчитать
высчитывать	высчитать
отчитывать	отчитать
вычитывать	вычитать
забалтывать	заболтать
набалтывать	наболтать
подбалтывать	подболтать
перебалтывать	переболтать
разбалтывать	разболтать
взбалтывать	взболтать
пробалтывать	проболтать
сбалтывать	сболтать
выбалтывать	выболтать
зарабатывать	заработать
подзарабатывать	подзаработать
нарабатывать	наработать
обрабатывать	обработать
подрабатывать	подработать
перерабатывать	переработать
разрабатывать	разработать
прирабатывать	приработать
дорабатывать	доработать
недорабатывать	недоработать
прорабатывать	проработать
срабатывать	сработать
отрабатывать	отработать
вырабатывать	выработать
недовырабатывать	недовыработать
заглатывать	заглотать
заматывать	замотать
наматывать	намотать
обматывать	обмотать
вматывать	вмотать
подматывать	подмотать
перематывать	перемотать
разматывать	размотать
изматывать	измотать
приматывать	примотать
доматывать	домотать
проматывать	промотать
сматывать	смотать
отматывать	отмотать
уматывать	умотать
выматывать	вымотать
исхлопатывать	исхлопотать
отхлопатывать	отхлопотать
выхлопатывать	выхлопотать
нашептывать	нашептать
затаптывать	затоптать
натаптывать	натоптать
обтаптывать	обтоптать
втаптывать	втоптать
подтаптывать	подтоптать
перетаптывать	перетоптать
притаптывать	притоптать
отаптывать	отоптать
протаптывать	протоптать
стаптывать	стоптать
растаптывать	растоптать
истаптывать	истоптать
оттаптывать	оттоптать
утаптывать	утоптать
вытаптывать	вытоптать
становиться	стать
становиться1	стать
заграбастывать	заграбастать
заставать	застать
перепластывать	перепластать
распластывать	распластать
упластывать	упластать
наставать	настать
обставать	обстать
вставать	встать
привставать	привстать
представать	предстать
захлестывать	захлестать
нахлестывать	нахлестать
обхлестывать	обхлестать
схлестывать	схлестать
расхлестывать	расхлестать
исхлестывать	исхлестать
отхлестывать	отхлестать
ухлестывать	ухлестать
выхлестывать	выхлестать
переставать	перестать
преставать	престать
насвистывать	насвистать
пересвистывать	пересвистать
освистывать	освистать
просвистывать	просвистать
высвистывать	высвистать
перелистывать	перелистать
пролистывать	пролистать
приставать	пристать
доставать	достать
недоставать	недостать
опрастывать	опростать
выпрастывать	выпростать
заверстывать	заверстать
наверстывать	наверстать
вверстывать	вверстать
подверстывать	подверстать
переверстывать	переверстать
разверстывать	разверстать
приверстывать	приверстать
сверстывать	сверстать
уверстывать	уверстать
восставать	восстать
отставать	отстать
приотставать	приотстать
уставать	устать
приуставать	приустать
отхлыстывать	отхлыстать
закутывать	закутать
накутывать	накутать
перекутывать	перекутать
окутывать	окутать
раскутывать	раскутать
укутывать	укутать
запутывать	запутать
напутывать	напутать
впутывать	впутать
подпутывать	подпутать
перепутывать	перепутать
припутывать	припутать
опутывать	опутать
спутывать	спутать
распутывать	распутать
отпутывать	отпутать
упутывать	упутать
выпутывать	выпутать
допытывать	допытать
распытывать	распытать
испытывать	испытать
выпытывать	выпытать
запрятывать	запрятать
подпрятывать	подпрятать
перепрятывать	перепрятать
припрятывать	припрятать
упрятывать	упрятать
обмахивать	обмахать
размахивать	размахать
отмахивать	отмахать
отмахивать	отмахать
вымахивать	вымахать
запахивать	запахать
напахивать	напахать
подпахивать	подпахать
перепахивать	перепахать
припахивать	припахать
опахивать	опахать
допахивать	допахать
пропахивать	пропахать
спахивать	спахать
распахивать	распахать
вспахивать	вспахать
испахивать	испахать
выпахивать	выпахать
заезжать	заехать
наезжать	наехать
переезжать	переехать
приезжать	приехать
доезжать	доехать
проезжать	проехать
уезжать	уехать
объезжать	объехать
въезжать	въехать
подъезжать	подъехать
взъезжать	взъехать
съезжать	съехать
отъезжать	отъехать
выезжать	выехать
запихивать	запихать
напихивать	напихать
впихивать	впихать
подпихивать	подпихать
пропихивать	пропихать
распихивать	распихать
упихивать	упихать
выпихивать	выпихать
вычихивать	вычихать
вбухивать	вбухать
выбухивать	выбухать
расколыхивать	расколыхать
всколыхивать	всколыхать
нанюхивать	нанюхать
обнюхивать	обнюхать
разнюхивать	разнюхать
пронюхивать	пронюхать
вынюхивать	вынюхать
зачинать	зачать
закачивать	закачать
накачивать	накачать
вкачивать	вкачать
подкачивать	подкачать
перекачивать	перекачать
прикачивать	прикачать
прокачивать	прокачать
скачивать	скачать
раскачивать	раскачать
откачивать	откачать
укачивать	укачать
выкачивать	выкачать
начинать	начать
затачивать	затачать
натачивать	натачать
обтачивать	обтачать
втачивать	втачать
подтачивать	подтачать
перетачивать	перетачать
притачивать	притачать
дотачивать	дотачать
протачивать	протачать
стачивать	стачать
растачивать	растачать
утачивать	утачать
перекрикивать	перекричать
замалчивать	замолчать
умалчивать	умолчать
развенчивать	развенчать
увенчивать	увенчать
починать	почать
обстукивать	обстучать
простукивать	простучать
отстукивать	отстучать
завешивать	завешать
навешивать	навешать
обвешивать	обвешать
перевешивать	перевешать
развешивать	развешать
довешивать	довешать
увешивать	увешать
замешивать	замешать
намешивать	намешать
вмешивать	вмешать
подмешивать	подмешать
перемешивать	перемешать
размешивать	размешать
примешивать	примешать
домешивать	домешать
промешивать	промешать
смешивать	смешать
умешивать	умешать
вымешивать	вымешать
заслушивать	заслушать
подслушивать	подслушать
дослушивать	дослушать
недослушивать	недослушать
прослушивать	прослушать
выслушивать	выслушать
застращивать	застращать
настращивать	настращать
пристращивать	пристращать
ослабевать	ослабеть
расслабевать	расслабеть
огрубевать	огрубеть
выздоравливать	выздороветь
девать	деть
задевать	задеть
завладевать	завладеть
овладевать	овладеть
охладевать	охладеть
надевать	надеть
вдевать	вдеть
поддевать	поддеть
раздевать	раздеть
вздевать	вздеть
воздевать	воздеть
обижать	обидеть
разобижать	разобидеть
засиживать	засидеть
насиживать	насидеть
обсиживать	обсидеть
подсиживать	подсидеть
пересиживать	пересидеть
досиживать	досидеть
просиживать	просидеть
отсиживать	отсидеть
усиживать	усидеть
высиживать	высидеть
обалдевать	обалдеть
одевать	одеть
переодевать	переодеть
разодевать	разодеть
продевать	продеть
затвердевать	затвердеть
отвердевать	отвердеть
оскудевать	оскудеть
обглядывать	обглядеть
подглядывать	подглядеть
приглядывать	приглядеть
оглядывать	оглядеть
доглядывать	доглядеть
недоглядывать	недоглядеть
проглядывать	проглядеть
выглядывать	выглядеть
ошалевать	ошалеть
обомлевать	обомлеть
разомлевать	разомлеть
заболевать	заболеть
одолевать	одолеть
преодолевать	преодолеть
околевать	околеть
запечатлевать	запечатлеть
напечатлевать	напечатлеть
отпечатлевать	отпечатлеть
перетлевать	перетлеть
дотлевать	дотлеть
истлевать	истлеть
онемевать	онеметь
уразумевать	уразуметь
обледеневать	обледенеть
оледеневать	оледенеть
окаменевать	окаменеть
закостеневать	закостенеть
окостеневать	окостенеть
закоченевать	закоченеть
окоченевать	окоченеть
прояснивать	прояснеть
разъяснивать	разъяснеть
выяснивать	выяснеть
запевать	запеть
напевать	напеть
подпевать	подпеть
перепевать	перепеть
закипать	закипеть
накипать	накипеть
перекипать	перекипеть
прикипать	прикипеть
докипать	докипеть
прокипать	прокипеть
вскипать	вскипеть
откипать	откипеть
укипать	укипеть
выкипать	выкипеть
допевать	допеть
претерпевать	претерпеть
распевать	распеть
переспевать	переспеть
приспевать	приспеть
воспевать	воспеть
доспевать	доспеть
подоспевать	подоспеть
поспевать	поспеть
успевать	успеть
преуспевать	преуспеть
выспевать	выспеть
отпевать	отпеть
отупевать	отупеть
выпевать	выпеть
застаревать	застареть
устаревать	устареть
нагревать	нагреть
перегревать	перегреть
взгревать	взгреть
пригревать	пригреть
огревать	огреть
обогревать	обогреть
догревать	догреть
подогревать	подогреть
разогревать	разогреть
прогревать	прогреть
согревать	согреть
отогревать	отогреть
угревать	угреть
замирать	замереть
обмирать	обмереть
помирать	помереть
отмирать	отмереть
умирать	умереть
вымирать	вымереть
запирать	запереть
напирать	напереть
поднапирать	поднапереть
впирать	впереть
подпирать	подпереть
перепирать	перепереть
припирать	припереть
опирать	опереть
пропирать	пропереть
спирать	спереть
распирать	распереть
отпирать	отпереть
упирать	упереть
выпирать	выпереть
затирать	затереть
натирать	натереть
обтирать	обтереть
втирать	втереть
подтирать	подтереть
перетирать	перетереть
притирать	притереть
отирать	отереть
дотирать	дотереть
протирать	протереть
стирать	стереть
растирать	растереть
истирать	истереть
простирать	простереть
распростирать	распростереть
оттирать	оттереть
утирать	утереть
вытирать	вытереть
назревать	назреть
перезревать	перезреть
презирать	презреть
взирать	воззреть
призирать	призреть
обозревать	обозреть
дозревать	дозреть
прозревать	прозреть
созревать	созреть
вызревать	вызреть
загорать	загореть
нагорать	нагореть
обгорать	обгореть
подгорать	подгореть
перегорать	перегореть
изгорать	изгореть
возгорать	возгореть
пригорать	пригореть
догорать	догореть
погорать	погореть
прогорать	прогореть
сгорать	сгореть
отгорать	отгореть
угорать	угореть
выгорать	выгореть
запревать	запреть
напревать	напреть
перепревать	перепреть
опревать	опреть
допревать	допреть
подпревать	подопреть
разопревать	разопреть
пропревать	пропреть
сопревать	сопреть
отпревать	отопреть
упревать	упреть
выпревать	выпреть
насматривать	насмотреть
обсматривать	обсмотреть
подсматривать	подсмотреть
пересматривать	пересмотреть
присматривать	присмотреть
осматривать	осмотреть
досматривать	досмотреть
недосматривать	недосмотреть
просматривать	просмотреть
рассматривать	рассмотреть
усматривать	усмотреть
предусматривать	предусмотреть
высматривать	высмотреть
одуревать	одуреть
отсыревать	отсыреть
залетать	залететь
налетать	налететь
облетать	облететь
влетать	влететь
подлетать	подлететь
перелетать	перелететь
взлетать	взлететь
излетать	излететь
прилетать	прилететь
долетать	долететь
пролетать	пролететь
слетать	слететь
отлетать	отлететь
улетать	улететь
вылетать	вылететь
запотевать	запотеть
пропотевать	пропотеть
отпотевать	отпотеть
выпотевать	выпотеть
наверчивать	навертеть
обверчивать	обвертеть
вверчивать	ввертеть
подверчивать	подвертеть
переверчивать	перевертеть
разверчивать	развертеть
приверчивать	привертеть
доверчивать	довертеть
проверчивать	провертеть
сверчивать	свертеть
отверчивать	отвертеть
выверчивать	вывертеть
насвистывать	насвистеть
просвистывать	просвистеть
просвистывать	просвистеть
высвистывать	высвистеть
залезать	залезть
налезать	налезть
облезать	облезть
облезать	облезть
влезать	влезть
подлезать	подлезть
перелезать	перелезть
взлезать	взлезть
прилезать	прилезть
долезать	долезть
пролезать	пролезть
слезать	слезть
отлезать	отлезть
улезать	улезть
вылезать	вылезть
отверзать	отверзть
загрызать	загрызть
нагрызать	нагрызть
обгрызать	обгрызть
надгрызать	надгрызть
подгрызать	подгрызть
перегрызать	перегрызть
разгрызать	разгрызть
изгрызать	изгрызть
огрызать	огрызть
догрызать	догрызть
прогрызать	прогрызть
сгрызать	сгрызть
отгрызать	отгрызть
угрызать	угрызть
выгрызать	выгрызть
задраивать	задраить
надраивать	надраить
продраивать	продраить
отдраивать	отдраить
выдраивать	выдраить
затаивать	затаить
утаивать	утаить
забивать	забить
ослаблять	ослабить
расслаблять	расслабить
набивать	набить
оббивать	оббить
вбивать	вбить
надбивать	надбить
подбивать	подбить
перебивать	перебить
потреблять	потребить
употреблять	употребить
злоупотреблять	злоупотребить
истреблять	истребить
разбивать	разбить
взбивать	взбить
избивать	избить
прибивать	прибить
зашибать	зашибить
обшибать	обшибить
вшибать	вшибить
подшибать	подшибить
перешибать	перешибить
пришибать	пришибить
дошибать	дошибить
прошибать	прошибить
сшибать	сшибить
расшибать	расшибить
отшибать	отшибить
ушибать	ушибить
вышибать	вышибить
задалбливать	задолбить
надалбливать	надолбить
вдалбливать	вдолбить
наддалбливать	наддолбить
поддалбливать	поддолбить
раздалбливать	раздолбить
издалбливать	издолбить
продалбливать	продолбить
выдалбливать	выдолбить
обивать	обить
добивать	добить
сподоблять	сподобить
уподоблять	уподобить
разжалобливать	разжалобить
озлоблять	озлобить
побивать	побить
раздроблять	раздробить
пробивать	пробить
подсоблять	подсобить
обособлять	обособить
пособлять	пособить
приспосабливать	приспособить
ущерблять	ущербить
выщерблять	выщербить
оскорблять	оскорбить
сбивать	сбить
отбивать	отбить
убивать	убить
пригубливать	пригубить
усугублять	усугубить
усугублять	усугубить
заглублять	заглубить
углублять	углубить
приголубливать	приголубить
зарубать	зарубить
нарубать	нарубить
обрубать	обрубить
врубать	врубить
огрублять	огрубить
надрубать	надрубить
подрубать	подрубить
перерубать	перерубить
разрубать	разрубить
изрубать	изрубить
прирубать	прирубить
дорубать	дорубить
прорубать	прорубить
срубать	срубить
отрубать	отрубить
вырубать	вырубить
выбивать	выбить
вздыбливать	вздыбить
зарыблять	зарыбить
влюблять	влюбить
разлюблять	разлюбить
набавлять	набавить
надбавлять	надбавить
подбавлять	подбавить
разбавлять	разбавить
избавлять	избавить
прибавлять	прибавить
добавлять	добавить
сбавлять	сбавить
отбавлять	отбавить
убавлять	убавить
окровавливать	окровавить
задавливать	задавить
надавливать	надавить
вдавливать	вдавить
поддавливать	поддавить
раздавливать	раздавить
придавливать	придавить
подавлять	подавить
продавливать	продавить
сдавливать	сдавить
отдавливать	отдавить
удавливать	удавить
выдавливать	выдавить
завивать	завить
подзавивать	подзавить
озаглавливать	озаглавить
обезглавливать	обезглавить
возглавлять	возглавить
наплавлять	наплавить
вплавлять	вплавить
переплавлять	переплавить
оплавлять	оплавить
проплавливать	проплавить
сплавлять	сплавить
расплавлять	расплавить
выплавлять	выплавить
ославлять	ославить
прославлять	прославить
расславлять	расславить
обесславливать	обесславить
восславлять	восславить
навивать	навить
поздравлять	поздравить
заправлять	заправить
дозаправлять	дозаправить
направлять	направить
перенаправлять	перенаправить
вправлять	вправить
подправлять	подправить
переправлять	переправить
приправлять	приправить
оправлять	оправить
поправлять	поправить
справлять	справить
расправлять	расправить
исправлять	исправить
отправлять	отправить
выправлять	выправить
затравливать	затравить
натравливать	натравить
втравливать	втравить
подтравливать	подтравить
перетравливать	перетравить
притравливать	притравить
отравлять	отравить
протравливать	протравить
стравливать	стравить
растравливать	растравить
вытравливать	вытравить
разбуравливать	разбуравить
пробуравливать	пробуравить
выбуравливать	выбуравить
перемуравливать	перемуравить
заставлять	заставить
наставлять	наставить
обставлять	обставить
вставлять	вставить
надставлять	надставить
представлять	представить
подставлять	подставить
переставлять	переставить
приставлять	приставить
оставлять	оставить
доставлять	доставить
предоставлять	предоставить
поставлять	поставить
противопоставлять	противопоставить
сопоставлять	сопоставить
проставлять	проставить
составлять	составить
пересоставлять	пересоставить
расставлять	расставить
восставлять	восставить
отставлять	отставить
уставлять	уставить
выставлять	выставить
обвивать	обвить
ввивать	ввить
надвивать	надвить
подвивать	подвить
перевивать	перевить
передешевлять	передешевить
продешевлять	продешевить
удешевлять	удешевить
одушевлять	одушевить
воодушевлять	воодушевить
развивать	развить
взвивать	взвить
отрезвлять	отрезвить
протрезвлять	протрезвить
вытрезвлять	вытрезвить
извивать	извить
уязвлять	уязвить
изъязвлять	изъязвить
удивлять	удивить
заживлять	заживить
наживлять	наживить
вживлять	вживить
подживлять	подживить
приживлять	приживить
оживлять	оживить
отживлять	отживить
осчастливливать	осчастливить
закривлять	закривить
перекривлять	перекривить
искривлять	искривить
прививать	привить
умилостивлять	умилостивить
овивать	овить
довивать	довить
залавливать	заловить
налавливать	наловить
облавливать	обловить
подлавливать	подловить
перелавливать	переловить
излавливать	изловить
долавливать	доловить
благословлять	благословить
обуславливать	обусловить
взаимообуславливать	взаимообусловить
обусловливать	обусловить
взаимообусловливать	взаимообусловить
отлавливать	отловить
улавливать	уловить
вылавливать	выловить
перестанавливать	перестановить
останавливать	остановить
приостанавливать	приостановить
постановлять	постановить
расстанавливать	расстановить
восстанавливать	восстановить
устанавливать	установить
обновлять	обновить
возобновлять	возобновить
подновлять	подновить
поновлять	поновить
вдохновлять	вдохновить
усыновлять	усыновить
повивать	повить
обескровливать	обескровить
оздоровлять	оздоровить
приноравливать	приноровить
разнайтовливать	разнайтовить
принайтовливать	принайтовить
заготавливать	заготовить
наготавливать	наготовить
подготавливать	подготовить
переподготавливать	переподготовить
изготовлять	изготовить
приготавливать	приготовить
уготовлять	уготовить
предуготовлять	предуготовить
приуготовлять	приуготовить
свивать	свить
разветвлять	разветвить
ответвлять	ответвить
отвивать	отвить
омертвлять	омертвить
умерщвлять	умертвить
отождествлять	отождествить
обожествлять	обожествить
отожествлять	отожествить
обобществлять	обобществить
овеществлять	овеществить
пресуществлять	пресуществить
осуществлять	осуществить
огосударствливать	огосударствить
очерствлять	очерствить
увивать	увить
вывивать	вывить
являть	явить
заявлять	заявить
раззявливать	раззявить
обслюнявливать	обслюнявить
проявлять	проявить
издырявливать	издырявить
продырявливать	продырявить
объявлять	объявить
предъявлять	предъявить
изъявлять	изъявить
выявлять	выявить
приваживать	привадить
поваживать	повадить
спроваживать	спровадить
отваживать	отвадить
загаживать	загадить
обгаживать	обгадить
подгаживать	подгадить
изгаживать	изгадить
угаживать	угадить
налаживать	наладить
переналаживать	переналадить
облаживать	обладить
заглаживать	загладить
наглаживать	нагладить
обглаживать	обгладить
подглаживать	подгладить
переглаживать	перегладить
разглаживать	разгладить
изглаживать	изгладить
приглаживать	пригладить
оглаживать	огладить
доглаживать	догладить
проглаживать	прогладить
сглаживать	сгладить
отглаживать	отгладить
выглаживать	выгладить
подлаживать	подладить
перелаживать	переладить
разлаживать	разладить
излаживать	изладить
прилаживать	приладить
слаживать	сладить
наслаждать	насладить
услаждать	усладить
отлаживать	отладить
улаживать	уладить
охлаждать	охладить
переохлаждать	переохладить
прохлаждать	прохладить
напомаживать	напомадить
припомаживать	припомадить
заграждать	заградить
награждать	наградить
вознаграждать	вознаградить
преграждать	преградить
ограждать	оградить
засаживать	засадить
насаждать	насадить
насаживать	насадить
обсаживать	обсадить
всаживать	всадить
надсаживать	надсадить
подсаживать	подсадить
пересаживать	пересадить
присаживать	присадить
осаживать	осадить
осаждать	осадить
осаждать	осадить
досаживать	досадить
досаждать	досадить
просаживать	просадить
ссаживать	ссадить
рассаживать	рассадить
отсаживать	отсадить
усаживать	усадить
высаживать	высадить
снабжать	снабдить
побеждать	победить
убеждать	убедить
предубеждать	предубедить
переубеждать	переубедить
разубеждать	разубедить
заслеживать	заследить
прослеживать	проследить
исслеживать	исследить
отслеживать	отследить
услеживать	уследить
выслеживать	выследить
обезвреживать	обезвредить
повреждать	повредить
подрежать	подредить
опережать	опередить
изреживать	изредить
разрежать	разредить
прореживать	проредить
упреждать	упредить
предупреждать	предупредить
учреждать	учредить
нацеживать	нацедить
